original_id,inner_id
104200,0
11450,1
11560,2
11590,3
12520,4
12540,5
12560,6
12650,7
12660,8
12670,9
12710,10
12750,11
12770,12
12790,13
12810,14
12830,15
201420,16
201700,17
203680,18
208500,19
218740,20
220780,21
220801,22
220802,23
220803,24
220804,25
220805,26
220806,27
220807,28
220809,29
220811,30
220812,31
220813,32
221160,33
221161,34
221162,35
221164,36
221165,37
221166,38
221167,39
221168,40
222880,41
226580,42
249230,43
249250,44
249270,45
249290,46
249360,47
255220,48
255690,49
255691,50
255692,51
258520,52
263980,53
265120,54
266050,55
266210,56
271860,57
273540,58
282050,59
282090,60
282091,61
282092,62
282900,63
283000,64
283020,65
284750,66
284790,67
285500,68
285520,69
286570,70
286810,71
286830,72
287260,73
287340,74
288240,75
289020,76
289021,77
289022,78
289023,79
289024,80
289025,81
289600,82
292620,83
293180,84
296710,85
302320,86
303390,87
305390,88
306160,89
306670,90
310560,91
311500,92
314290,93
317250,94
319011,95
319014,96
319015,97
319016,98
319017,99
319018,100
321040,101
324800,102
325120,103
326120,104
326950,105
329150,106
3300,107
3310,108
331490,109
331491,110
331492,111
331710,112
3320,113
3330,114
333830,115
3340,116
3350,117
3360,118
33700,119
337000,120
337040,121
33710,122
33720,123
33730,124
33760,125
3380,126
3390,127
3400,128
340490,129
3410,130
341150,131
341500,132
3420,133
3430,134
343360,135
3440,136
3450,137
3460,138
346610,139
347560,140
3480,141
348240,142
348540,143
349220,144
350200,145
351150,146
351480,147
352010,148
352840,149
353370,150
353380,151
353640,152
3540,153
354850,154
354920,155
3560,156
357070,157
3580,158
3590,159
359220,160
359250,161
359260,162
3620,163
362780,164
363330,165
363490,166
364250,167
365770,168
366420,169
367040,170
368900,171
369990,172
371200,173
371670,174
375510,175
377470,176
377480,177
378610,178
379520,179
379750,180
383270,181
383330,182
385070,183
385200,184
385870,185
38700,186
387110,187
387120,188
38720,189
38740,190
388160,191
388430,192
389700,193
390470,194
391040,195
391070,196
391660,197
394050,198
394540,199
395980,200
396360,201
396610,202
396620,203
396810,204
397370,205
397620,206
398100,207
399430,208
399670,209
399890,210
400180,211
400450,212
400740,213
401190,214
402430,215
40300,216
403560,217
40390,218
403900,219
40391,220
40392,221
40393,222
